Incident_ID,Audio_Event,PDF_Doc_Type,Image_Objects,Video_Event,Text_Crime_Type,Severity,Sources_Available,Modality_Count,AI_Summary
INC_154,Shooting / gunfire,No police report filed,No scene photograph available,Person lying down,No media report found,High,Audio + Video,2,"A report of a shooting / gunfire incident in a residential area of the city of San Francisco, California."
INC_155,Assault / fighting,No police report filed,No scene photograph available,Person lying down,No media report found,High,Audio + Video,2,A report of a multimodal crime incident involving a person lying down.
INC_156,Assault / fighting,No police report filed,No scene photograph available,Person lying down,No media report found,High,Audio + Video,2,A report of a multimodal crime incident involving a person lying down.
INC_157,Unknown incident,No police report filed,No scene photograph available,Person lying down,No media report found,Medium,Audio + Video,2,A person lying down in a public place is a crime that has not been reported in the media.
INC_158,Unknown incident,No police report filed,No scene photograph available,Person lying down,No media report found,Medium,Audio + Video,2,A person lying down in a public place is a crime that has not been reported in the media.
INC_159,Breaking and entering,No police report filed,No scene photograph available,Person collapsing,No media report found,Medium,Audio + Video,2,A multimodal crime incident report is being prepared for publication in the United States.
INC_160,Unknown incident,No police report filed,No scene photograph available,Person collapsing,No media report found,Medium,Audio + Video,2,The report identifies a person collapsing in a residential area of the city of San Francisco.
INC_161,Road accident / collision,No police report filed,No scene photograph available,Person lying down,No media report found,High,Audio + Video,2,"A report of a road accident / collision, a person lying down, and a police report."
INC_162,Unknown incident,No police report filed,No scene photograph available,Person lying down,No media report found,Medium,Audio + Video,2,A person lying down in a public place is a crime that has not been reported in the media.
INC_163,Shooting / gunfire,No police report filed,No scene photograph available,Person lying down,No media report found,High,Audio + Video,2,"A report of a shooting / gunfire incident in San Francisco, California, in which a person was lying down."
INC_164,Assault / fighting,No police report filed,No scene photograph available,Person lying down,No media report found,High,Audio + Video,2,A report of a multimodal crime incident involving a person lying down.
INC_165,Shooting / gunfire,No police report filed,No scene photograph available,Person lying down,No media report found,Low,Audio + Video,2,"A report of a shooting / gunfire incident in a residential area of the city of San Francisco, California."
INC_166,Unknown incident,No police report filed,No scene photograph available,Person lying down,No media report found,Medium,Audio + Video,2,A person lying down in a public place is a crime that has not been reported in the media.
INC_167,Road accident / collision,No police report filed,No scene photograph available,Person lying down,No media report found,High,Audio + Video,2,"A report of a road accident / collision, a person lying down, and a police report."
INC_168,Unknown incident,No police report filed,No scene photograph available,Person lying down,No media report found,Medium,Audio + Video,2,A person lying down in a public place is a crime that has not been reported in the media.
INC_169,Unknown incident,No police report filed,No scene photograph available,Person lying down,No media report found,Medium,Audio + Video,2,A person lying down in a public place is a crime that has not been reported in the media.
INC_170,Shooting / gunfire,No police report filed,No scene photograph available,Person lying down,No media report found,High,Audio + Video,2,"A report of a shooting / gunfire incident in a residential area of the city of San Francisco, California."
INC_171,Shooting / gunfire,No police report filed,No scene photograph available,Person lying down,No media report found,High,Audio + Video,2,"A report of a shooting / gunfire incident in a residential area of the city of San Francisco, California."
INC_172,Shooting / gunfire,No police report filed,No scene photograph available,Person lying down,No media report found,High,Audio + Video,2,"A report of a shooting / gunfire incident in a residential area of the city of San Francisco, California."
INC_173,Assault / fighting,No police report filed,No scene photograph available,Person lying down,No media report found,High,Audio + Video,2,A report of a violent crime incident in the United States.
INC_174,Shooting / gunfire,No police report filed,No scene photograph available,Person lying down,No media report found,High,Audio + Video,2,"A report of a shooting / gunfire incident in a residential area of the city of San Francisco, California."
INC_175,Shooting / gunfire,No police report filed,No scene photograph available,Person lying down,No media report found,High,Audio + Video,2,"A report of a shooting / gunfire incident in a residential area of the city of San Francisco, California."
INC_176,Shooting / gunfire,No police report filed,No scene photograph available,Person lying down,No media report found,High,Audio + Video,2,"A report of a shooting / gunfire incident in a residential area of the city of San Francisco, California."
INC_177,Building fire / trapped persons,No police report filed,No scene photograph available,Person lying down,No media report found,High,Audio + Video,2,A report of a building fire / trapped persons incident in New York City.
INC_178,Robbery / theft,No police report filed,No scene photograph available,Person lying down,No media report found,High,Audio + Video,2,A report of a multimodal crime incident involving robbery and theft.
INC_179,Shooting / gunfire,No police report filed,No scene photograph available,Normal activity,No media report found,High,Audio + Video,2,"A report of a shooting / gunfire incident in the city of San Francisco, California."
INC_180,Unknown incident,No police report filed,No scene photograph available,Loitering,No media report found,Medium,Audio + Video,2,"A crime incident report is categorized as a ""medium"" crime incident."
INC_181,Road accident / collision,No police report filed,No scene photograph available,Loitering,No media report found,High,Audio + Video,2,"The report includes a road accident / collision, a Loitering text crime, and a traffic accident."
INC_182,Building fire / trapped persons,No police report filed,No scene photograph available,Loitering,No media report found,High,Audio + Video,2,A report of a building fire / trapped persons incident.
INC_183,Shooting / gunfire,No police report filed,No scene photograph available,Loitering,No media report found,High,Audio + Video,2,"A report of a shooting / gunfire incident in the city of San Francisco, California."
INC_184,Road accident / collision,No police report filed,No scene photograph available,Normal activity,No media report found,High,Audio + Video,2,"A report of a road accident / collision, a traffic accident, and a normal activity incident."
INC_185,Road accident / collision,No police report filed,No scene photograph available,Normal activity,No media report found,High,Audio + Video,2,"A report of a road accident / collision, a traffic accident, and a normal activity incident."
INC_186,Shooting / gunfire,No police report filed,No scene photograph available,Normal activity,No media report found,High,Audio + Video,2,"A report of a shooting / gunfire incident in the city of San Francisco, California."
INC_187,Unknown incident,No police report filed,No scene photograph available,Normal activity,No media report found,Medium,Audio + Video,2,"A crime incident report is categorized as a ""moderate"" crime incident."
INC_188,Unknown incident,No police report filed,No scene photograph available,Loitering,No media report found,Medium,Audio + Video,2,"A crime incident report is categorized as a ""medium"" crime incident."
INC_189,Shooting / gunfire,No police report filed,No scene photograph available,Loitering,No media report found,High,Audio + Video,2,"A report of a shooting / gunfire incident in the city of San Francisco, California."
INC_190,Shooting / gunfire,No police report filed,No scene photograph available,Normal activity,No media report found,High,Audio + Video,2,"A report of a shooting / gunfire incident in a residential area of the city of San Francisco, California."
INC_191,Road accident / collision,No police report filed,No scene photograph available,Normal activity,No media report found,High,Audio + Video,2,"The report includes a road accident / collision, a normal activity incident, and a traffic accident."
INC_192,Building fire / trapped persons,No police report filed,No scene photograph available,Normal activity,No media report found,High,Audio + Video,2,A report of a building fire / trapped persons incident in New York City.
INC_193,Building fire / trapped persons,No police report filed,No scene photograph available,Normal activity,No media report found,High,Audio + Video,2,A report of a building fire / trapped persons incident in New York City.
INC_194,Building fire / trapped persons,No police report filed,No scene photograph available,Normal activity,No media report found,High,Audio + Video,2,A report of a building fire / trapped persons incident in New York City.
INC_195,Building fire / trapped persons,No police report filed,No scene photograph available,Normal activity,No media report found,High,Audio + Video,2,A report of a building fire / trapped persons incident in New York City.
INC_196,Building fire / trapped persons,No police report filed,No scene photograph available,Normal activity,No media report found,High,Audio + Video,2,A report of a building fire / trapped persons incident in New York City.
INC_197,Explosion,No police report filed,No scene photograph available,Normal activity,No media report found,High,Audio + Video,2,The report identifies a high-level crime incident in the United States.
INC_198,Shooting / gunfire,No police report filed,No scene photograph available,Normal activity,No media report found,High,Audio + Video,2,"A report of a shooting / gunfire incident in the city of San Francisco, California."
